Timestamp,LoopCnt,LoopTime(ms),AvgLoopTime(ms),IrCnt,IrTime(ms),AvgIrTime(ms),IR1,IR2,IR3,IR4,IR5,T1,T2,T3,T4,T5
14:34:10.422,52812,25,25.41,26407,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.473,52814,26,25.41,26408,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.575,52816,26,25.41,26409,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.576,52818,26,25.41,26410,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.627,52820,25,25.41,26411,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.678,52822,24,25.41,26412,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.729,52824,26,25.41,26413,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.830,52826,26,25.41,26414,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.831,52828,25,25.41,26415,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.881,52830,25,25.41,26416,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.932,52832,26,25.41,26417,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.983,52834,26,25.41,26418,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.085,52836,25,25.41,26419,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.085,52838,25,25.41,26420,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.137,52840,25,25.41,26421,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.187,52842,26,25.41,26422,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.289,52844,26,25.41,26423,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.290,52846,25,25.41,26424,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.392,52848,25,25.41,26425,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.392,52850,25,25.41,26426,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.494,52852,26,25.41,26427,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.494,52854,26,25.41,26428,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.596,52856,25,25.41,26429,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.647,52858,25,25.41,26430,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.698,52860,26,25.41,26431,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.749,52862,26,25.41,26432,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.800,52864,24,25.41,26433,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.852,52866,25,25.41,26434,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.903,52868,26,25.41,26435,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:11.954,52870,26,25.41,26436,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.005,52872,26,25.41,26437,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.057,52874,25,25.41,26438,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.108,52876,25,25.41,26439,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.159,52878,25,25.41,26440,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.210,52880,26,25.41,26441,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.260,52882,26,25.41,26442,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.312,52884,25,25.41,26443,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.362,52886,26,25.41,26444,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.413,52888,26,25.41,26445,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.465,52890,26,25.42,26446,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.516,52892,24,25.41,26447,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.567,52894,24,25.41,26448,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.617,52896,26,25.41,26449,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.668,52898,26,25.41,26450,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.719,52900,26,25.41,26451,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.770,52902,25,25.41,26452,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.821,52904,26,25.41,26453,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.922,52906,26,25.42,26454,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.923,52908,25,25.41,26455,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:12.974,52910,25,25.41,26456,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.025,52912,25,25.41,26457,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.075,52914,26,25.41,26458,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.126,52916,26,25.42,26459,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.178,52918,26,25.42,26460,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.229,52920,25,25.42,26461,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.280,52922,24,25.41,26462,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.331,52924,26,25.41,26463,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.382,52926,26,25.42,26464,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.484,52928,25,25.41,26465,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.484,52930,25,25.41,26466,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.535,52932,26,25.41,26467,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.586,52934,26,25.42,26468,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.688,52936,25,25.41,26469,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.689,52938,25,25.41,26470,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.790,52940,25,25.41,26471,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.790,52942,26,25.41,26472,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.891,52944,26,25.42,26473,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.943,52946,25,25.41,26474,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:13.994,52948,25,25.41,26475,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.045,52950,25,25.41,26476,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.096,52952,25,25.41,26477,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.147,52954,26,25.41,26478,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.198,52956,25,25.41,26479,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.249,52958,25,25.41,26480,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.300,52960,26,25.41,26481,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.351,52962,26,25.41,26482,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.402,52964,24,25.41,26483,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.454,52966,24,25.41,26484,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.505,52968,26,25.41,26485,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.556,52970,26,25.41,26486,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.608,52972,26,25.41,26487,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.659,52974,25,25.41,26488,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.710,52976,25,25.41,26489,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.761,52978,26,25.41,26490,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.811,52980,25,25.41,26491,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.863,52982,25,25.41,26492,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.914,52984,25,25.41,26493,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:14.964,52986,26,25.41,26494,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.015,52988,26,25.41,26495,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.066,52990,26,25.41,26496,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.117,52992,25,25.41,26497,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.168,52994,24,25.41,26498,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.220,52996,26,25.41,26499,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.271,52998,26,25.41,26500,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.322,53000,26,25.41,26501,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.373,53002,25,25.41,26502,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.424,53004,26,25.41,26503,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.474,53006,26,25.41,26504,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.525,53008,25,25.41,26505,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.576,53010,25,25.41,26506,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.627,53012,25,25.41,26507,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.729,53014,26,25.41,26508,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.780,53016,26,25.41,26509,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.780,53018,26,25.41,26510,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.831,53020,25,25.41,26511,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.933,53022,25,25.41,26512,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.934,53024,25,25.41,26513,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:15.985,53026,26,25.41,26514,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:16.086,53028,25,25.41,26515,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:16.086,53030,25,25.41,26516,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:16.188,53032,26,25.41,26517,53,52.08,0,0,0,0,0,1,1,1,1,1
